,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
112185,gdb_112186,COC1CC(=O)C1(C)C,2.50854,1.22636,1.0246,2.8416,79.88,-0.2346,-0.018,0.2166,1279.1403,0.178842,-424.232383,-424.222022,-424.221078,-424.267707,37.426
28637,gdb_28638,Cc1cnc(nc1)C#C,5.90858,1.0292,0.88135,2.6197,86.46,-0.2503,-0.0491,0.2012,1270.8083,0.112664,-379.695122,-379.686962,-379.686018,-379.729207,29.484
120783,gdb_120784,OCCN1CC1C1CN1,3.89581,0.77972,0.72288,1.4758,80.97,-0.2339,0.07,0.304,1614.1846,0.18288,-420.335259,-420.32592,-420.324976,-420.370441,34.447
3825,gdb_3826,c1c(non1)C#N,9.95365,2.01097,1.67297,2.2847,47.28,-0.3307,-0.0952,0.2355,640.0362,0.044413,-354.254979,-354.249909,-354.248964,-354.284007,17.407
47987,gdb_47988,O=CC#CC1C2CCC12,4.55637,0.77344,0.73621,4.6455,86.78,-0.2592,-0.0557,0.2036,1539.9033,0.135445,-384.638848,-384.630388,-384.629444,-384.673164,30.4
52694,gdb_52695,CC#CC(C)CC(N)=O,3.71722,0.67023,0.61884,3.4892,85.19,-0.2367,0.0297,0.2664,1855.2051,0.167853,-403.171042,-403.159545,-403.158601,-403.210509,38.988
39104,gdb_39105,C1CC23CCC(O2)C3O1,3.44782,1.6942,1.45815,1.8469,73.93,-0.2394,0.0857,0.3251,950.5103,0.162296,-423.004961,-422.998272,-422.997328,-423.035687,27.992
101981,gdb_101982,C(C(C=O)(C=O)C=O)O,1.87281,1.46491,1.21749,1.0997,63.09,-0.272,-0.0821,0.1899,1097.4467,0.108198,-494.907291,-494.897675,-494.896731,-494.942683,32.448
27370,gdb_27371,Cc1[nH]c(cc(=O)n1)O,1.95787,1.87058,0.96237,6.9795,71.24,-0.2251,-0.0145,0.2107,1151.1382,0.113191,-454.018112,-454.009959,-454.009015,-454.050995,30.31
64316,gdb_64317,CC1(CCC=CCO1)C,2.41858,1.49568,1.186,1.1743,87.06,-0.2355,0.028,0.2636,1178.4392,0.205858,-388.300553,-388.291378,-388.290434,-388.333665,36.512
59850,gdb_59851,CC(C)NC(=O)C(=N)N,3.1363,0.88335,0.81136,1.276,79.47,-0.2368,-0.016,0.2208,1523.8688,0.170183,-436.525542,-436.515027,-436.514082,-436.562325,37.905
59014,gdb_59015,CC(O)C1=NCC(=O)N1,3.65145,1.08597,0.86566,2.8899,70.23,-0.2448,-0.0158,0.229,1298.4311,0.135914,-455.199732,-455.191009,-455.190065,-455.23353,32.178
36620,gdb_36621,N#CCNC12CC1CC2,5.15941,0.78387,0.74963,4.102,81.22,-0.2418,0.0242,0.266,1524.7107,0.160005,-382.041151,-382.032492,-382.031548,-382.075316,32.221
40215,gdb_40216,C1OC11CCN=COC1,2.94631,1.51162,1.15691,2.9299,72.87,-0.2459,0.0121,0.258,1070.8149,0.148874,-439.064124,-439.056244,-439.0553,-439.096999,29.79
15159,gdb_15160,CCC#CCC1CN1,7.34008,0.70286,0.67735,1.5488,81.28,-0.2415,0.0532,0.2947,1712.4732,0.164901,-327.876502,-327.867214,-327.86627,-327.913144,32.284
96747,gdb_96748,CN=C(C#N)OCC#N,3.34719,0.86635,0.69413,4.5285,72.18,-0.3031,-0.0685,0.2347,1511.5822,0.099052,-432.875358,-432.865989,-432.865045,-432.910664,31.24
4967,gdb_4968,Cc1cncnc1C,3.24316,2.27982,1.36124,2.864,72.78,-0.2437,-0.03,0.2137,890.218,0.132017,-342.854269,-342.846917,-342.845973,-342.885751,27.088
77488,gdb_77489,CC1C2(C)CC1(O)C2=O,1.94323,1.85644,1.19296,1.9234,76.2,-0.234,0.0083,0.2424,1108.7402,0.156676,-423.002395,-422.992729,-422.991784,-423.036691,35.296
8238,gdb_8239,CC(C)CC1COC1,4.41281,0.97916,0.95047,1.9569,77.97,-0.2413,0.0728,0.3141,1344.3989,0.19943,-350.191111,-350.181717,-350.180773,-350.226244,33.675
95698,gdb_95699,CC1CNC(=O)CCO1,3.11251,1.21245,0.93509,3.1463,76.29,-0.2371,0.0292,0.2663,1267.4847,0.172182,-440.327772,-440.318995,-440.318051,-440.361281,33.397
120150,gdb_120151,COCC1C2CC(O)C12,2.89794,1.02626,0.91883,1.59,79.61,-0.2426,0.0704,0.3131,1383.3093,0.181805,-424.175654,-424.166252,-424.165308,-424.210561,34.704
120931,gdb_120932,CCCC1OC2CC12O,3.42628,0.88686,0.81465,2.0953,79.1,-0.2286,0.0723,0.301,1515.7381,0.180623,-424.182672,-424.173142,-424.172197,-424.217292,35.716
55365,gdb_55366,NC(=O)C1CCC2OC12,3.22651,1.29513,1.05765,3.9821,70.9,-0.2438,0.0315,0.2754,1144.6175,0.148722,-439.114078,-439.105765,-439.104821,-439.147836,31.332
